PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-23,13:00:45.17,1,1,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Lee, Jacob",1000115663,Right,VCU_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.37074,-3.028499,-0.082918,2137.800697,184.890905,12:15,7.19193,-0.54579,5.37453,-13.55816,22.61332,1.82248,3.22013,-0.47166,80.7164,-5.642546,0.241035,0.432867,,,,,,,,,,,,-0.93287,12.63418,0.55192,50,6.91127,0.10265,-129.35995,-7.20968,-1.56212,29.95258,-11.01778,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,5cbf8020-0808-11f0-bfc0-dda3691c1650,87.07621,,,8.65434,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:00:45.17,2025-03-23T13:00:45.1716608-04:00,2025-03-23T17:00:45.1716608Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,dc802e6c-f9b0-4324-b412-22bd0abf7dc0,55.12094,-130.54029,14.97629,7.18683,-6.77551,-5.50889,0.54666,0.16421,-0.78106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-23,13:01:00.09,1,2,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Lee, Jacob",1000115663,Right,VCU_RAM,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.92395,-1.942089,0.046046,2266.94727,171.312631,11:45,7.16756,-0.43962,5.35179,-11.24272,24.52383,-3.54732,4.40844,-0.69204,80.95334,-4.156123,-0.584109,0.430437,,,,,,,,,,,,1.77496,13.22552,0.43803,50,6.98524,0.06254,-130.23237,-4.67359,3.00688,30.82117,-9.76911,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,65ac5a00-0808-11f0-bfc0-dda3691c1650,87.56777,,,8.97061,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:01:00.09,2025-03-23T13:01:00.0965632-04:00,2025-03-23T17:01:00.0965632Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,9ea64549-1bfc-4fe0-8898-daca17fb7ede,55.14314,-131.44392,15.41058,7.16141,-4.28957,-4.88456,0.43789,-0.05566,1.50344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-23,13:01:15.31,1,3,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Lee, Jacob",1000115663,Right,VCU_RAM,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.62339,-0.662447,0.325849,2161.854702,144.852762,10:45,6.97003,-0.77968,5.88262,-24.5671,18.71119,-12.13859,4.30755,-1.48862,73.26546,-5.307901,-1.852682,0.473485,,,,,,,,,,,,6.24906,10.19052,0.76008,50,6.90244,-0.18653,-117.00963,-2.03458,8.5991,23.61238,-18.15126,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,6ec32a10-0808-11f0-bfc0-dda3691c1650,79.60635,,,7.35793,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:01:15.31,2025-03-23T13:01:15.3192448-04:00,2025-03-23T17:01:15.3192448Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,7f57e9b5-c758-423b-b6d4-3bffe814e2dd,54.61353,-117.93695,11.80619,6.96834,-1.32172,-9.07563,0.77404,-0.52424,4.29955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-23,13:01:31.48,1,4,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Lee, Jacob",1000115663,Right,VCU_RAM,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.91129,-3.842693,1.467516,2315.014187,169.245591,11:45,7.15693,-0.49682,5.52978,-12.2956,23.98509,-4.3102,2.53349,0.51615,80.60042,-6.228728,0.699576,0.43352,90.05189,62.524311,-16.224405,,107.90452,163.21124,-21.36778,171.14555,75.97753,-9.910563,6.361138,2.63984,13.70272,0.37233,50,6.81493,-3.10912,-128.67814,-8.96279,4.38485,29.02939,-9.4136,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,78741740-0808-11f0-bfc0-dda3691c1650,86.9451,165.24089,,8.31087,,,,1.87846,2.98774,-0.70196,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:01:31.48,2025-03-23T13:01:31.4895872-04:00,2025-03-23T17:01:31.4895872Z,Popup,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,fb46ad96-19d8-4309-a43c-379f6314058d,54.96928,-129.79436,14.5147,7.15261,-8.60082,-4.7068,0.49512,-3.27772,2.19242,185.354011,1.88621,58.34454,-17.08443,4.04435,-0.33242,-0.09218,0.03203,-0.00388,0.00017,2.9648,117.52911,-27.98267,4.48176,-1.42096,0.36922,-0.06154,0.0055,-0.0002,-0.7021,-17.00323,7.35516,-2.03268,0.30312,-0.00943,-0.00515,0.00087,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2025-03-23,13:02:11.34,2,1,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Henson, Will",1000216613,Right,VCU_RAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.23125,-4.391829,0.566706,2258.832505,178.159402,12:00,7.12443,-0.61519,5.52372,-13.87044,22.11107,-0.67012,1.85427,-0.14119,81.15988,-7.041484,0.447251,0.431729,,,,,,,,,,,,0.50906,12.87237,0.56636,50,6.7329,-1.24777,-129.1105,-10.30747,0.85334,28.61111,-10.59574,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,903c5900-0808-11f0-bfc0-dda3691c1650,87.30581,,,8.07137,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:02:11.34,2025-03-23T13:02:11.3493504-04:00,2025-03-23T17:02:11.3493504Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,6f10626d-236d-49d2-9700-e5c9c606c36c,54.97524,-130.20836,14.30555,7.12062,-9.9009,-5.29787,0.61487,-1.28051,0.42667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-23,13:02:26.10,2,2,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Henson, Will",1000216613,Right,VCU_RAM,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.55563,-3.320932,2.486316,2043.731175,131.458707,10:30,6.90433,-0.73636,6.27242,-26.0584,16.80796,-17.34292,1.66505,0.11187,73.51971,-8.227602,-0.649845,0.471226,,,,,,,,,,,,9.82217,10.18355,0.56088,50,6.64564,-4.45342,-116.76942,-7.47746,13.45141,23.65291,-18.2277,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,99072bf0-0808-11f0-bfc0-dda3691c1650,79.98796,,,7.03592,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:02:26.10,2025-03-23T13:02:26.1058560-04:00,2025-03-23T17:02:26.1058560Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,4ada1ad1-1b33-4b78-9abe-60d485f642a2,54.22785,-117.6227,11.82646,6.90353,-6.8199,-9.11385,0.73029,-4.93868,6.72571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-23,13:02:41.48,2,3,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Henson, Will",1000216613,Right,VCU_RAM,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.98709,-3.299787,-0.620664,2301.75991,173.873682,11:45,7.05648,-0.67511,5.55356,-11.38883,23.96348,-2.4374,3.02049,-1.4582,81.49059,-5.525835,-1.05524,0.427937,,,,,,,,,,,,1.04067,13.47847,0.73043,50,6.76378,1.52106,-130.31891,-7.78732,1.77263,29.81719,-9.21538,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,a216d010-0808-11f0-bfc0-dda3691c1650,88.07935,,,8.49651,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:02:41.48,2025-03-23T13:02:41.4804992-04:00,2025-03-23T17:02:41.4804992Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,314ddf16-3654-4414-a0a6-be6437821aa2,54.94397,-131.44523,14.90859,7.05137,-7.43922,-4.60769,0.67424,1.4541,0.88631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-23,13:03:01.09,2,4,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Henson, Will",1000216613,Right,VCU_RAM,Undefined,1,Top,1,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.74211,-3.92161,0.383072,2241.143074,180.697044,12:00,7.14106,-0.53035,5.37813,-9.65642,25.61801,0.29539,2.65415,-0.14661,81.61665,-5.845549,0.435567,0.427466,,,,,,,,,,,,-0.02343,14.49044,0.49584,50,6.78334,-0.89089,-131.18745,-9.19059,-0.04015,31.89216,-7.32515,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,adc67370-0808-11f0-bfc0-dda3691c1650,88.17652,,,9.12546,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:03:01.09,2025-03-23T13:03:01.0995200-04:00,2025-03-23T17:03:01.0995200Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,984000ff-ab38-40ef-9aeb-5d3fb9101f1d,55.11811,-132.42584,15.94608,7.13469,-8.90616,-3.66258,0.5304,-0.88933,-0.02008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-23,13:03:30.73,3,1,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Swenson, Sean",1000091043,Right,VCU_RAM,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.61349,-0.879721,0.410876,2211.539524,342.054093,5:30,7.07686,-0.76574,5.32614,-69.32023,-12.98883,4.82748,0.47459,0.02211,66.03195,-13.341512,1.274164,0.54019,,,,,,,,,,,,-2.32457,-5.8939,0.72488,50,6.94649,-0.91457,-103.93027,-3.78336,-2.50144,20.04311,-38.51645,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,bf988610-0808-11f0-bfc0-dda3691c1650,69.77624,,,5.58154,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:03:30.73,2025-03-23T13:03:30.7374592-04:00,2025-03-23T17:03:30.7374592Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,a733c95f-907a-4e42-b536-c37e5db899d4,55.17802,-104.92411,10.02156,7.08674,-1.87352,-19.25823,0.76715,-0.79054,-1.25072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-23,13:03:48.76,3,2,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Swenson, Sean",1000091043,Right,VCU_RAM,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.35591,-4.867426,0.643806,2327.206621,177.95089,12:00,7.12162,-0.58004,5.5618,-12.51859,23.38887,-0.79126,1.5197,-0.04447,81.19663,-7.278264,0.502676,0.431284,,,,,,,,,,,,0.59701,13.70973,0.52501,50,6.69277,-1.41758,-129.20603,-11.33503,1.00114,28.92739,-9.18332,DAV_WIL,VCU_RAM,WilsonField,D1,A10,20250323-WilsonField-1,ca4b52e0-0808-11f0-bfc0-dda3691c1650,87.39579,,,8.15928,,,,,,,2bc01d4e-c77d-4af5-8c02-444860f0a139,2025-03-23,17:03:48.76,2025-03-23T13:03:48.7693824-04:00,2025-03-23T17:03:48.7693824Z,,v3,471280,471479,23 March 2025 13:00-vcu@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,3ae16f5d-4525-4b09-a06a-2554a352d0b8,54.93749,-130.30677,14.46369,7.11744,-10.98558,-4.59166,0.57968,-1.45568,0.50057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
